Echantillon,'Type de roche',CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
29-02BD329.4.3D2,'R.carbonatees & R.carbonatees impures',48.05,0.2,0.01,0.16,0.02,10.1,37.96,0.03,0.14,18.65,488,144,17,3,7.1,0.3,9.1,6.2,0.4,25.7,28.9,176.3,7.1,5.11,33.5,6.1,0.5,0.4,21.1,17.4,3.2,13.4,1.9,0.6,2.8,0.4,2.9,0.7,2.3,0.3,1.2,0.2,0.1,0.1,0.3,45.1
137-02YH028.1.3A,'R.carbonatees & R.carbonatees impures',47.83,0.04,0.001,0.03,0.01,20.33,27.5,0.03,0.01,0.05,61,2,2930.5,170.125,5,8.955172,1.7,16.838983,2.046939,18.717241,4.2,52.2,6.108333,0.2,2,0.7,0.1,0,1.5,1.1,0.3,0.9,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,1.7
139-02YH029.2.3C,'R.carbonatees & R.carbonatees impures',47.52,0.23,0.002,0.45,0.1,20,27.52,0.01,0.12,0.08,373,63,6,1,32.111481,0.3,2.4,3.5,0.2,7.3,17,76.1,5.1,2.7,3.7,0.9,0.1,0.2,1.4,1.5,0.3,1.4,0.3,0.1,0.3,0,0.4,0.1,0.3,0,0.2,0,0,0,0.1,1.8
76-02RM616.2.3A,'R.carbonatees & R.carbonatees impures',47.52,0.02,0,0.07,0.01,19.98,27.54,0.02,0.01,0.01,62,7,5,1,32.111481,8.955172,15.9,16.838983,0.2,2,3.6,50.4,6.108333,0.18,1.6,0.6,0.1,0,1.1,0.6,0.3,0.5,0.2,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,1.2
80-02RM620.1.3C,'R.carbonatees & R.carbonatees impures',47.48,0.24,0.009,0.2,0.04,20.41,27.07,0.02,0.12,0.01,114,700.073684,2930.5,170.125,32.111481,8.955172,4.6,16.838983,0.6,3,22.4,43.3,2.1,2.6,3.4,2.1,0.4,0.1,2.1,2.5,0.6,2.4,0.5,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0.1,0,0.2,1.9
83-02RM623.1.3A,'R.carbonatees & R.carbonatees impures',47.42,0.02,0.001,0.03,0.02,19.78,27.64,0.03,0.01,0.05,80,5,2930.5,12,32.111481,8.955172,3.8,1.9,2.046939,4.8,3.4,74.4,6.108333,0.2,4.1,0.7,0.4,0,2.1,1.9,0.4,1.8,0.3,0.1,0.4,0.1,0.4,0.1,0.3,0,0.1,0,0,0,0,0.8
94-02RM629.3.3B,'R.carbonatees & R.carbonatees impures',47.34,0.02,0,0.06,0.01,19.81,27.53,0.02,0,0.09,89,2,2930.5,170.125,32.111481,8.955172,2.3,16.838983,2.046939,18.717241,3.8,49.9,6.108333,0.09,2.9,0.8,0.1,0,1.6,1.3,0.4,1.5,0.3,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0,2
99-02RM632.1.3B,'R.carbonatees & R.carbonatees impures',47.04,0.17,0.003,0.19,0.03,19.59,27.45,0.02,0.04,0.01,233,5,2930.5,3,32.111481,8.955172,5.7,16.838983,2.046939,5.7,6.3,57,2.1,1.02,2.5,1.5,0.2,0.1,1.3,1,0.3,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0.1,2.6
104-02RM633.2.3C,'R.carbonatees & R.carbonatees impures',47.03,0.07,0.001,0.16,0.03,19.59,27.44,0.02,0.03,0.16,176,19,2930.5,2,32.111481,8.955172,3.1,16.838983,2.046939,6.6,3.9,59.2,2,1.43,3.3,0.9,0.1,0.1,1.4,1.2,0.3,1.2,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0,1.9
106-02RM634.1.3A,'R.carbonatees & R.carbonatees impures',46.96,0.07,0.003,0.07,0.01,19.57,27.39,0.03,0.03,0.05,141,4,2930.5,1,3.3,8.955172,2.1,16.838983,0.2,18.717241,6,51.3,2.5,0.62,2,1,0.1,0,1.2,1,0.2,0.9,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0.1,2
